Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed,Birthplace,HomeTown,HighSchool,College,Past Pro,Past Pro 2,Twitter_id,Twitter_username,Twitter_followers,Twitter_friends,birthPlace,birthPlace_url,weight,nationality,dob,college,weeki_comment,high_school,height
78,"Andray Blatche","WAS","$8471339","","","","","","","","","","","","","","","drayblatche","68870 followers ","","Syracuse New York","http://dbpedia.org/resource/Syracuse,_New_York",117936,"NULL","1986-08-22","NULL","Andray Blatche (born August 22 1986) is an American professional basketball player who currently plays for the Brooklyn Nets of the NBA. Blatche was drafted in the second round of the 2005 NBA draft by the Washington Wizards. He played for the Wizards from 2005 to 2012 until he was released.","NULL",2.1082
523,"Andre Dawkins","BOS","$29843","","","","","","Minimum Salary","$29843","","","","","","","","","","","Fairfax Virginia","http://dbpedia.org/resource/Fairfax,_Virginia",97524,"NULL","1991-09-19","Duke Blue Devils men's basketball","Andre Wade Dawkins (born September 19 1991) is an American college basketball player who currently plays for Duke Blue Devils men's basketball team as a shooting guard.","NULL",1.9558
250,"Andre Drummond","DET","$2568360","$3272091","","","","","1st Round Pick","$2568360","","","","","","","","AndreDrummondd","853192 followers ","","Mount Vernon New York","http://dbpedia.org/resource/Mount_Vernon,_New_York",122472,"NULL","1993-08-10","Connecticut Huskies men's basketball","Andre Jamal Drummond (born August 10 1993) is an American professional basketball center with the Detroit Pistons of the National Basketball Association (NBA). He was one of the top rated basketball players in the high school class of 2011 and attended the University of Connecticut for his freshman year before declaring for the 2012 NBA Draft.","Montville Connecticut",2.0828
41,"Andre Iguodala","GSW","$12289544","$11710456","$11131368","","","","Bird Rights","$35131368","","","","","","","","andre","618243 followers ","","Springfield Illinois","http://dbpedia.org/resource/Springfield,_Illinois",93895.2,"NULL","1984-01-28","Arizona Wildcats men's basketball","Andre Tyler Iguodala (born January 28 1984) is an American professional basketball swingman for the Golden State Warriors of the National Basketball Association (NBA). After attending Lanphier High School in Springfield Illinois Iguodala enrolled at the University of Arizona. After completing two years he left college for the 2004 NBA Draft where he was drafted 9th overall by the Philadelphia 76ers.","NULL",1.9812
163,"Andre Miller","WAS","$4625000","","","","","","Bird Rights","$2000000","","","","","","","","","","","{California|Los Angeles}","{http://dbpedia.org/resource/California|http://dbpedia.org/resource/Los_Angeles}",90720,"NULL","1976-03-19","Utah Utes men's basketball","Andre Lloyd Miller (born March 19 1976) is an American professional basketball player who currently plays for the Washington Wizards of the National Basketball Association (NBA). Miller previously played for the Cleveland Cavaliers Los Angeles Clippers Philadelphia 76ers Portland Trail Blazers and Denver Nuggets. Currently he ranks ninth all-time in NBA career assists and has only missed three games due to injury in his 14-year career.","NULL",1.8796
51,"Andrea Bargnani","NYK","$11500000","","","","","","Bird Rights","$11500000","","","","","","","","AndreaBargnani","272623 followers ","","{Italy|Rome}","{http://dbpedia.org/resource/Italy|http://dbpedia.org/resource/Rome}",113400,"NULL","1985-10-26","NULL","Andrea Bargnani Italian pronunciation: [anˈdrɛa barˈɲani] (born 26 October 1985) is an Italian professional basketball player for the New York Knicks of the National Basketball Association (NBA). He was selected first overall in the 2006 NBA Draft by the Toronto Raptors. He is a power forward/center standing at 213 cm (7 ft 0 in) and weighing 113 kg (250 lbs). Prior to his NBA career Bargnani played for Benetton Treviso in the Italian Serie A and the Euroleague.","NULL",2.1336
206,"Andrei Kirilenko","PHI","$3326235","","","","","","Mini MLE","$3326235","","","","","","","","","","","{Soviet Union|Izhevsk|Russian Soviet Federative Socialist Republic}","{http://dbpedia.org/resource/Soviet_Union|http://dbpedia.org/resource/Izhevsk|http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic}",106596,"NULL","1981-02-18","NULL","Andrei Gennadyevich Kirilenko (Russian: Андрей Геннадьевич Кириленко; born February 18 1981) is a Russian professional basketball player who currently plays for the Brooklyn Nets of the National Basketball Association (NBA). At age fifteen Kirilenko began playing professional basketball in his native Russia with the Russian Basketball Super League.","NULL",2.0574
36,"Andrew Bogut","GSW","$12972973","$12000000","$11027027","","","","Bird Rights","$36000000","","","","","","","","andrewbogut","92731 followers ","","{Victoria (Australia)|Melbourne}","{http://dbpedia.org/resource/Victoria_(Australia)|http://dbpedia.org/resource/Melbourne}",117936,"NULL","1984-11-28","Utah Utes men's basketball","Andrew Michael Bogut (born 28 November 1984) is an Australian professional basketball player who currently plays for the Golden State Warriors of the National Basketball Association (NBA).Bogut was selected by the Milwaukee Bucks with the first overall pick in the 2005 NBA Draft. The 7-foot (2.13m) 260-pound (118 kg) center was a star at the University of Utah for two years before declaring for the draft. Bogut is the first Australian player to be drafted number one overall.","NULL",2.1336
133,"Andrew Wiggins","MIN","$5510640","$5758680","$6006600","$7574322","","","1st Round Pick","$11269320","","","","","","","","","","","{Ontario|Toronto}","{http://dbpedia.org/resource/Ontario|http://dbpedia.org/resource/Toronto}",90720,"NULL","1995-02-23","Kansas Jayhawks men's basketball","Andrew Christian Wiggins (born February 23 1995) is a Canadian basketball player who recently completed a one-year college career for the Kansas Jayhawks. He was the top college basketball recruit in 2013 and is considered the favorite to be selected with the top pick in the 2014 NBA draft.","NULL",2.032
217,"Anthony Morrow","OKC","$3200000","$3344000","$3488000","","","","Cap Space","$6544000","","","","","","","","MrAnthonyMorrow","129011 followers ","","Charlotte North Carolina","http://dbpedia.org/resource/Charlotte,_North_Carolina",95256,"NULL","1985-09-27","Georgia Tech Yellow Jackets men's basketball","Anthony Jarrad Morrow (born September 27 1985) is an American professional basketball player who currently plays for the New Orleans Pelicans of the National Basketball Association (NBA). The 6 ft 5 in (1.96 m) 210 lb (95 kg; 15 st) shooting guard played college basketball at the Georgia Institute of Technology. He went undrafted in the 2008 NBA draft but was later signed by the Golden State Warriors and is now considered one of the best pure shooters in the NBA.","NULL",1.9558
297,"Anthony Randolph","ORL","$1825359","","","","","","","$1825359","","","","","","","","TheARandolph","16009 followers ","","{West Germany|Würzburg}","{http://dbpedia.org/resource/West_Germany|http://dbpedia.org/resource/W%C3%BCrzburg}",102060,"NULL","1989-07-15","LSU Tigers basketball","Anthony Erwin Randolph Jr. (born July 15 1989) is an American professional basketball player who currently plays for the Denver Nuggets of the National Basketball Association (NBA). Born in Germany to two parents who served in the military there Randolph's family eventually relocated to the United States where he grew up in Pasadena California.","NULL",2.1082
231,"Anthony Tolliver","DET","$3000000","$3000000","","","","","Cap Space","$3400000","","","","","","","","ATolliver44","32663 followers ","","Springfield Missouri","http://dbpedia.org/resource/Springfield,_Missouri",108864,"NULL","1985-06-01","Creighton Bluejays men's basketball","Anthony Tolliver (born June 1 1985) is an American professional basketball player who currently plays for the Charlotte Bobcats of the National Basketball Association (NBA). He attended Creighton University in Nebraska.","NULL",2.032
359,"Arnett Moultrie","NYK","$1136160","","","","","","","$1136160","","","","","","","","amoultrie","32610 followers ","","Queens","http://dbpedia.org/resource/Queens",108864,"NULL","1990-11-18","{Mississippi State Bulldogs basketball|UTEP Miners basketball}","Arnett Nathaniel Moultrie (born November 18 1990) is an American professional basketball player who currently plays for the Delaware 87ers of the NBA D-League on assignment from the Philadelphia 76ers of the National Basketball Association (NBA).","NULL",2.0828
273,"Aron Baynes","SAS","$2077000","","","","","","MLE","$2077000","","","","","","","","","","","{Gisborne New Zealand|New Zealand}","{http://dbpedia.org/resource/Gisborne,_New_Zealand|http://dbpedia.org/resource/New_Zealand}",117936,"NULL","1986-12-09","Washington State Cougars men's basketball","Aron John Baynes (born 9 December 1986) is an Australian professional basketball player who currently plays for the San Antonio Spurs of the National Basketball Association (NBA). He attended the Australian Institute of Sport in 2005 and played college basketball at Washington State University.","NULL",2.0828
91,"Arron Afflalo","DEN","$7750000","$7937500","","","","","Bird Rights","$7312500","","","","","","","","arronafflalo","95160 followers ","","Los Angeles","http://dbpedia.org/resource/Los_Angeles",97524,"NULL","1985-10-15","UCLA Bruins men's basketball","Arron Agustin Afflalo (born October 15 1985) is an American professional basketball swingman with the Orlando Magic of the National Basketball Association (NBA). He completed a three-year career at University of California Los Angeles (UCLA) in the Pacific-10 Conference of the National Collegiate Athletic Association as the starting shooting guard.","NULL",1.9558
372,"Austin Daye","SAS","$1063384","","","","","","","$1063384","","","","","","","","Adaye5","74087 followers ","","Irvine California","http://dbpedia.org/resource/Irvine,_California",90720,"NULL","1988-06-05","Gonzaga Bulldogs men's basketball","Austin Darren Daye (born June 5 1988) is an American professional basketball player who currently plays for the San Antonio Spurs of the NBA.","NULL",2.1082
255,"Austin Rivers","LAC","$2439840","$3110796","","","","","1st Round Pick","$2439840","","","","","","","","AustinRivers25","273925 followers ","","Santa Monica California","http://dbpedia.org/resource/Santa_Monica,_California",90720,"NULL","1992-08-01","Duke Blue Devils men's basketball","Austin James Rivers (born August 1 1992) is an American professional basketball player who currently plays for the New Orleans Pelicans of the National Basketball Association (NBA). Rivers led Winter Park High School to back-to-back Florida 6A state championships in 2010 and 2011. He also played in the 2011 Nike Hoop Summit for the USA National Team and the 2011 McDonald's All-American Game.","NULL",1.9304
98,"Avery Bradley","BOS","$7191011","$7730337","$8269663","$8808989","","","Bird Rights","$32000000","","","","","","","","Avery_Bradley","99007 followers ","","Tacoma Washington","http://dbpedia.org/resource/Tacoma,_Washington",81648,"NULL","1990-11-26","Texas Longhorns men's basketball","Avery Antonio Bradley Jr. (born November 26 1990) is an American professional basketball guard with the Boston Celtics of the National Basketball Association (NBA). He was selected by the Boston Celtics with the 19th overall pick in the 2010 NBA Draft.","NULL",1.8796
165,"Ben Gordon","ORL","$4500000","$4500000","","","","","Cap Space","$4500000","","","","","","","","BenGordon8","97810 followers ","","{England|London}","{http://dbpedia.org/resource/England|http://dbpedia.org/resource/London}",90720,"NULL","1983-04-04","Connecticut Huskies men's basketball","Benjamin Ben Gordon (born April 4 1983) is a British-American professional basketball player who last played for the Charlotte Bobcats of the National Basketball Association (NBA). In college he played both shooting guard and point guard for the University of Connecticut.He is the only player to receive the NBA Sixth Man of the Year Award as a rookie. Gordon is second in career three point field goals for the Chicago Bulls behind Kirk Hinrich.","{Mount Vernon High School (New York)|Mount Vernon New York}",1.905
225,"Ben McLemore","SAC","$3026280","$3156600","$4008882","","","","1st Round Pick","$6182880","","","","","","","","BenMcLemore","91520 followers ","","{Missouri|St. Louis}","{http://dbpedia.org/resource/Missouri|http://dbpedia.org/resource/St._Louis}",90720,"NULL","{1993-02-11|1993-02-12}","Kansas Jayhawks men's basketball","Ben McLemore III (born February 11 1993) is an American professional basketball player who currently plays for the Sacramento Kings of the National Basketball Association (NBA). McLemore played college basketball for the Kansas Jayhawks and is known for his athletic ability complemented by his outstanding jump shot. His size style of play and unique set of abilities have garnered comparisons to NBA sharpshooter Ray Allen. He was the seventh pick in the 2013 NBA Draft.","NULL",1.9558
277,"Beno Udrih","MEM","$2077000","$2170465","","","","","BAE","$2077000","","","","","","","","","","","{Socialist Federal Republic of Yugoslavia|Celje|Socialist Republic of Slovenia}","{http://dbpedia.org/resource/Socialist_Federal_Republic_of_Yugoslavia|http://dbpedia.org/resource/Celje|http://dbpedia.org/resource/Socialist_Republic_of_Slovenia}",95256,"NULL","1982-07-05","NULL","Beno Udrih (born July 5 1982) is a Slovenian professional basketball player who currently plays for the Memphis Grizzlies of the NBA. He previously played in the NBA for the San Antonio Spurs Sacramento Kings Milwaukee Bucks Orlando Magic and New York Knicks.","NULL",1.905
410,"Bernard James","DAL","$915243","","","","","","","$915243","","","","","","","","BernardJame5","13438 followers ","","Savannah Georgia","http://dbpedia.org/resource/Savannah,_Georgia",108864,"NULL","1985-02-07","{Florida State Seminoles men's basketball|Tallahassee Community College}","Bernard Ronald James (born February 7 1985) is an American professional basketball player who currently plays for the Dallas Mavericks of the NBA. He played college basketball at Florida State University.James served six years in the United States Air Force as a security forces specialist attaining the rank of Staff Sergeant.","NULL",2.0828
185,"Bismack Biyombo","CHO","$3873398","","","","","","1st Round Pick","$3873398","","","","","","","","bismackbiyombo0","51988 followers ","","{Lubumbashi|Democratic Republic of the Congo}","{http://dbpedia.org/resource/Lubumbashi|http://dbpedia.org/resource/Democratic_Republic_of_the_Congo}",111132,"Democratic Republic of the Congo","1992-08-28","NULL","Bismack Biyombo Sumba (born August 28 1992) is a Congolese professional basketball center with the Charlotte Bobcats of the National Basketball Association (NBA). Biyombo was selected with the 7th overall pick in the 2011 NBA draft by the Sacramento Kings and subsequently traded to the Charlotte Bobcats.","NULL",2.0574
14,"Blake Griffin","LAC","$17674612","$18907725","$20140838","$21373950","","","Bird Rights","$78097125","","","","","","","","blakegriffin32","2861009 followers ","","{Oklahoma|Oklahoma City}","{http://dbpedia.org/resource/Oklahoma|http://dbpedia.org/resource/Oklahoma_City}",113854,"NULL","1989-03-16","Oklahoma Sooners men's basketball","Blake Austin Griffin (born March 16 1989) is an American professional basketball player who currently plays for the Los Angeles Clippers of the National Basketball Association (NBA). Griffin had a renowned high school career at Oklahoma Christian School winning state titles each of his four years under his father Tommy Griffin who was the head coach.","NULL",2.0828
93,"Boris Diaw","SAS","$7500000","$7000000","$6500000","$7000000","","","Bird Rights","$17500000","","","","","","","","theborisdiaw","210201 followers ","","{Cormeilles-en-Parisis|Val-d'Oise|France}","{http://dbpedia.org/resource/Cormeilles-en-Parisis|http://dbpedia.org/resource/Val-d'Oise|http://dbpedia.org/resource/France}",113400,"NULL","1982-04-16","NULL","Boris Babacar Diaw-Riffiod better known as Boris Diaw (born April 16 1982) is a French professional basketball player who currently plays for the San Antonio Spurs of the National Basketball Association (NBA). He is 6 ft 8 in (2.03 m) and 250 lbs (113 kg).","NULL",2.032
164,"Bradley Beal","WAS","$4505280","$5694674","","","","","1st Round Pick","$10199954","","","","","","","","RealDealBeal23","183241 followers ","","St. Louis","http://dbpedia.org/resource/St._Louis",93895.2,"NULL","1993-06-28","Florida Gators men's basketball","Bradley Emmanuel Beal (born June 28 1993) is an American professional basketball guard with the Washington Wizards of the National Basketball Association (NBA).","{Creve Coeur Missouri|Chaminade College Preparatory School (Missouri)}",1.9558
151,"Brandan Wright","PHO","$5000000","","","","","","Early Bird Rights","$5000000","","","","","","","","bwright34","41683 followers ","","{Nashville Tennessee|Tennessee}","{http://dbpedia.org/resource/Nashville,_Tennessee|http://dbpedia.org/resource/Tennessee}",95256,"NULL","1987-10-05","North Carolina Tar Heels men's basketball","Brandan Keith Wright (born October 5 1987) is an American professional basketball player who currently plays for the Dallas Mavericks of the National Basketball Association (NBA). Growing up in Tennessee Wright fast became a standout at his high school Brentwood Academy earning an unprecedented three Mr. Basketball titles a feat no player at any level had ever done in Tennessee.","NULL",2.0828
105,"Brandon Bass","BOS","$6900000","","","","","","Bird Rights","$6900000","","","","","","","","bestbetbass","14856 followers ","","Baton Rouge Louisiana","http://dbpedia.org/resource/Baton_Rouge,_Louisiana",113400,"NULL","1985-04-30","LSU Tigers basketball","Brandon Samuel Bass (born April 30 1985) is an American professional basketball player who currently plays for the Boston Celtics of the National Basketball Association (NBA).","NULL",2.032
85,"Brandon Jennings","DET","$8000000","$8344497","","","","","Bird Rights","$16344497","","","","","","","","BrandonJennings","100339 followers ","","Compton California","http://dbpedia.org/resource/Compton,_California",76658.39999999999,"NULL","1989-09-23","NULL","Brandon Jennings (born September 23 1989) is an American professional basketball player who currently plays for the Detroit Pistons of the National Basketball Association (NBA).Jennings was a highly acclaimed high school player averaging 32.7 points and 7.4 assists as a senior and won all major player of the year awards in his senior year.","NULL",1.8542
10,"Brandon Roy","POR","$19317326","","","","","","","","","","","","","","","","","","{Seattle|Washington (state)}","{http://dbpedia.org/resource/Seattle|http://dbpedia.org/resource/Washington_(state)}",95709.60000000001,"NULL","1984-07-23","Washington Huskies men's basketball","Brandon Dawayne Roy (born July 23 1984) is a former American professional basketball player who played for the Portland Trail Blazers and Minnesota Timberwolves in the National Basketball Association (NBA). He was selected sixth in the 2006 NBA Draft having completed four years playing for the Washington Huskies. His nickname was B-Roy but he was also referred to as The Natural by Trail Blazers announcer Brian Wheeler.","NULL",1.9812
356,"Brandon Rush","GSW","$1145685","$1270964","","","","","Minimum Salary","$1145685","","","","","","","","BRush_25","47371 followers ","","Kansas City Missouri","http://dbpedia.org/resource/Kansas_City,_Missouri",105689,"NULL","1985-07-07","Kansas Jayhawks men's basketball","Brandon Leray Rush (born July 7 1985) is an American professional basketball player who currently plays for the Utah Jazz of the National Basketball Association (NBA). He was drafted in 2008 by the NBA's Portland Trail Blazers after playing for the University of Kansas Jayhawks for three seasons including the 2007–2008 national championship team. He was selected as a Wooden Award All-American in both 2007 and 2008 as a Jayhawk.","NULL",1.9812
90,"Brendan Haywood","DAL","$7798000","","","","","","","","","","","","","","","","","","{New York City|New York}","{http://dbpedia.org/resource/New_York_City|http://dbpedia.org/resource/New_York}",119297,"NULL","1979-11-27","North Carolina Tar Heels men's basketball","Brendan Todd Haywood (born November 27 1979) is an American professional basketball player who currently plays for the Charlotte Bobcats of the National Basketball Association (NBA).","NULL",2.1336
265,"Brendan Haywood","CLE","$2213688","$10522500","","","","","Cap Space","$2213688","","","","","","","","","","","{New York City|New York}","{http://dbpedia.org/resource/New_York_City|http://dbpedia.org/resource/New_York}",119297,"NULL","1979-11-27","North Carolina Tar Heels men's basketball","Brendan Todd Haywood (born November 27 1979) is an American professional basketball player who currently plays for the Charlotte Bobcats of the National Basketball Association (NBA).","NULL",2.1336
19,"Brook Lopez","BRK","$15719063","$16744219","","","","","Bird Rights","$15719063","","","","","","","","","","","North Hollywood Los Angeles","http://dbpedia.org/resource/North_Hollywood,_Los_Angeles",124740,"NULL","1988-04-01","Stanford Cardinal men's basketball","Brook Lopez (born April 1 1988) is an American professional basketball player who currently plays for the Brooklyn Nets of the National Basketball Association (NBA). He is the twin brother of basketball player Robin Lopez who plays for the Portland Trail Blazers. Lopez was selected 10th overall by the Nets in the 2008 NBA Draft after playing two years for Stanford in the Pacific-10 Conference of the NCAA. In 2013 Lopez was selected to play in his first NBA All-Star Game.","NULL",2.1336
512,"Bryce Cotton","SAS","$50000","","","","","","","$50000","","","","","","","","","","","NULL","NULL",74844,"NULL","1992-08-11","Providence Friars men's basketball","Bryce Cotton (born August 11 1992) is an American college basketball player for the Providence Friars of the Big East Conference.","NULL",1.8542
470,"Cameron Bairstow","CHI","$507336","$845059","$980431","","","","Cap Space","$932336","","","","","","","","","","","{Queensland|Brisbane}","{http://dbpedia.org/resource/Queensland|http://dbpedia.org/resource/Brisbane}",113400,"NULL","1990-12-07","New Mexico Lobos men's basketball","Cameron David Bairstow (born 7 December 1990) is an Australian basketball player who recently completed his college career for the University of New Mexico following the 2013–14 season.","NULL",2.0574
115,"Carl Landry","SAC","$6500000","$6500000","$6500000","","","","Cap Space","$19500000","","","","","","","","CarlLandry","80012 followers ","","{Milwaukee|Wisconsin}","{http://dbpedia.org/resource/Milwaukee|http://dbpedia.org/resource/Wisconsin}",112493,"NULL","1983-09-19","{Vincennes University|Purdue Boilermakers men's basketball}","Carl Christopher Landry (born September 19 1983) is an American professional basketball player who currently plays for the Sacramento Kings of the NBA. The 6'9 all-conference power forward played collegiate basketball for the Purdue Boilermakers from 2004 to 2007. He is the older brother of Marcus Landry.","NULL",2.0574
34,"Carlos Boozer","CHI","$13550000","","","","","","","","","","","","","","","MisterCBooz","1723413 followers ","","{West Germany|Aschaffenburg}","{http://dbpedia.org/resource/West_Germany|http://dbpedia.org/resource/Aschaffenburg}",120658,"NULL","1981-11-20","Duke Blue Devils men's basketball","Carlos Austin Boozer Jr. (born November 20 1981) is an American professional basketball player who currently plays for the Chicago Bulls of the National Basketball Association (NBA). As a member of the Team USA Boozer won an Olympic bronze medal at the 2004 Summer Olympics and an Olympic gold medal at the 2008 Summer Olympics.","NULL",2.0574
